S.No,Novel Name,Author,year,Rating ,Publisher
1,The Pilgrim's Progress,John Bunyan,1678,92,Peacock books
2,Robinson Crusoe,Danial Defoe,1719,84,William Taylor
3,Gulliver's Travels ,Jonathan Swift,1726,80,Benjamin Motte
4,Clarissa ,Samuel Richordson,1748,72,‎Penguin Classics
5,Tom Jones ,Henry Fielding,1749,79,‎Wordsworth Editions Ltd (5 May 1992)
6," The life and opinions of Tristman Shandy, Gentleman ",Laurence sterene,1759,71,‎Oxford University Press; Revised edition (4 February 2010)
7,Emma ,Jane Austen,1816,75,John Murray
8,Frankenstein ,Mary shelliey,1818,83,"Lackington, Hughes, Harding, Mavor & Jones"
9,Sybill,Benjamin Disraeli,1845,69,"‎Henry Regnery Company Chicago; First Edition (January 1, 1973)"
10,Jane Eyre,Charlotte Bronte,1847,88,Currer Bell
